staked_amount_delegators,staked_amount_validators
4314082811.166303,64287973.48628906
4318698612.844061,64543220.77992651
4316759657.66024,64086577.67239031
4314948883.0153055,63523725.28699832
4312282573.0597725,63933505.72781748
4320552301.740736,64184945.83412706
4397330072.96138,64416397.69928484
4405000592.627269,64669833.808085375
4365459091.638779,64738898.34167107
4371528401.88701,65174918.22435844
4382392217.006835,65421947.44011519
4382801037.59047,65674242.79141608
4383225746.583523,65914130.56718753
4383912689.568275,65637924.37605508
4387102353.817328,65890440.239301525
4388035615.288961,66142547.15273821
4370297378.063149,66390850.37039501
4355321227.2569065,66642025.87249673
4354575834.478505,66893192.15453502
4361490935.146736,67143518.88665946
4373068650.534119,67392034.48659462
4380055610.123383,67374827.26390113
4401948725.65021,67607541.9175056
4413106275.740582,66875272.348531015
4413328985.734774,67114328.20395643
4403793311.04295,67382603.22073072
4341918941.476007,67623466.30753928
4338444229.858927,67827986.94108081
4339521748.696339,68099722.5202801
4323458894.394677,67519337.14221887
4319501698.069381,68708996.80830924
4294890132.7763047,68706659.68290663
4322163446.596986,68963947.35141586
4326871464.266834,69221606.46599518
4300352428.001614,69010369.06603353
4294114587.7339625,69276060.82797593
4283806284.082839,69544720.2107194
4291503551.209294,69488472.42686959
4304410229.988703,69724995.18250643
4327354261.522142,69325804.12137926
4350476653.721422,69628387.76588231
4352635222.945382,69896877.1097607
4351696325.655684,70202400.04219444
4353449616.194219,69548370.63478172
4362552626.797457,70917334.99128252
4365063680.505164,71186455.95149228
4372151085.137412,71453442.77761579
4362825048.569563,71719752.01906087
4339063614.102623,71989744.5781605
4365870572.752704,72019597.65950595
4060586724.453831,65362506.99193282
4052768147.170593,64011557.06349438
4356538707.741178,71149453.90104184
4367729553.741739,71376664.47051297
4363295630.210912,71644928.9236847
4343687604.559566,72020819.16043404
4338818296.55518,72075684.78872497
4346584417.148379,72442560.23645975
4346798122.641255,72678015.72593929
4354149066.901531,73023888.5183745
4324055577.707219,73780479.03801401
4308280419.9424095,72954139.9618517
4315748293.553953,73214754.01841599
4325828307.077816,73483941.55146164
4331659937.3388605,70476034.29743277
4093662095.218044,69734832.53568195
4226458313.250282,70080940.4973336
4229594050.847476,70210443.5585431
4263732347.475959,68512624.95318905
4272257898.213536,68991127.043273
4275101073.027808,69246194.74369806
4396822797.116368,69925258.90547909
4434072326.133241,69995099.88094305
4440804690.816097,70218741.41843723
4437092926.22397,70485418.17604223
4436065937.662705,70963180.87994383
4438699313.836287,70706593.53999037
4440349301.782633,70975494.44049981
4471452858.747952,71250639.11179075
4476862309.650887,71511961.09165235
4463498087.72418,71773652.28128804
4470368365.356282,72035392.5654612
4463265602.083475,72718716.83683392
4478451951.601857,72957412.36236134
4476489238.363213,73218171.4889253
4481141013.67704,73474356.69169463
4469036444.086064,72859518.47860295
4457374151.671512,73120621.3690239
4457525020.482505,73381470.33777416
4470574676.903889,73635444.24501243
4478194456.240743,73393809.33533709
4484376384.589347,73650947.42459692
4486546043.154363,73733292.30123194
4485366076.673965,73216445.09817007
4498598964.779402,73178893.77950302
4499709868.4974165,73422103.24759586
4506556256.362439,73682662.60996012
4486501880.640586,73949474.00142433
4489992624.505242,74216467.38157569
4512009434.49691,74487112.64516456
4517391581.831294,74789768.45425387
4522025030.944299,75056164.09055655
4523633699.892266,75328657.4109847
4530690657.787536,75542191.41435824
4535845095.287088,75810127.97522731
4528533739.142473,76077882.55878374
4528488927.581529,76345331.60934287
4529548972.809769,76591524.55148827
4533188857.048913,75944518.88998653
4538512163.899156,76212235.50018688
4537505220.915933,76731853.85599779
4531544981.857172,76402526.64449751
4532921637.395913,76660246.38311066
4536556732.175524,76941880.22915962
4505024892.221367,77145831.3996258
4506237853.956478,77444845.00504458
4540356669.775191,77710009.00994189
4547839405.029444,78035318.91323675
4552911924.30652,78223066.88613357
4536942061.637109,80169664.96543638
4542269822.020033,80443233.49149969
4525173660.79757,80951863.25253479
4526228887.2654085,81222734.81225666
4530680588.051,80811675.4153907
4534525565.672016,81084147.32251383
4539565617.735169,81356519.53784448
4546413305.759812,81628735.02722077
4546151835.123042,81891273.71010952
4547906561.23078,82163397.7327915
4540457624.041283,82433706.18645807
4542033071.559998,81566859.46663164
4550103327.824094,81840573.3256952
4578454406.039272,82114482.61948025
4581610555.785752,82388790.01613387
4575008893.118992,82663813.6721439
4570730902.347268,82938284.42149688
4556150898.175616,83223404.23652713
4547397636.464317,83222553.34420903
4515490648.063307,83773560.87701721
4441790352.655792,84031521.22508474
4438983640.361875,84281618.00939095
4446908669.755755,84062329.64770605
4439871606.6357975,84338639.11768152
4465691827.971429,84592571.23504585
4470993846.131757,84819059.95385599
4483411150.264835,85097448.96477298
4499873142.841439,85392542.73619586
4502233800.353057,85642966.50161718
4498429847.601725,85915219.47714184
4448197403.500693,86078291.78681722
4417935544.407096,86147156.14209174
4403338461.582795,85997987.93358023
4406604210.421302,85833549.9378595
4410322194.938549,85937015.70103475
4414647562.494619,86198114.75659424
4424020234.637357,86472673.72352208
4461520954.788053,86747115.93369895
4464012500.051335,87022143.84345263
4472125506.730156,87296479.70832655
4477367559.773124,87571203.45862935
4478757147.168162,87833663.92997915
4480067087.102397,88100030.83137369
4483517933.589189,88372650.52811283
4486536582.202186,88647450.82812339
4462921381.432873,88926783.12289977
4497956224.028348,89201178.98716302
4507944260.650302,86359773.94278596
4511465486.255901,85619376.29735059
4514666177.882195,85891452.92378506
4515465105.395051,87131600.53858882
4505234208.942946,87265936.66666205
4510909657.130951,87539902.77159995
4514688131.081519,87813942.87009245
4520932918.8908415,88195197.14677049
4521632990.24949,88467498.91150312
4524399162.511607,88739297.71040806
4532144127.385615,88999326.00393093
4536258164.981849,89271628.10459468
4536812835.801966,89515417.29585622
4525042357.667729,89788720.24879654
4513186552.042993,90036536.02459452
4513963730.965356,90284078.81100124
4517252088.477704,90519846.27129994
4516949018.458808,90577590.90846904
4513655908.0336,89514720.11643572
4520578915.628923,89762403.47600745
4522712159.304042,90009678.50964074
4526156057.107763,90247384.87429295
4529299117.167816,90505389.36030872
4532938183.373737,90751978.702992
4538841652.207786,91000008.24922228
4540065835.812947,91236403.09489964
4541152400.183089,91482983.13858332
4547217942.289653,91728795.29776794
4550048741.687648,91967928.02892748
4553010639.517317,92224613.43717176
4555985914.739069,92462236.60426748
4560823917.206398,92707586.01745278
4566864336.008703,92944992.52211107
4567762115.736563,93213959.64149608
4573473167.51217,93462124.46029496
4577653109.364656,93710432.55661725
4576113470.556103,93958555.92295706
4576337793.327934,94203211.04106416
4577420280.86915,94450981.18844676
4578148957.804359,94686248.93202822
4588876409.209455,93348204.12733208
4580347735.585285,93588520.33993313
4442276396.521315,89017655.56252104
4458634411.640985,89537961.05712473
4479924384.525604,90163901.60331164
4535787167.039926,90675492.63425362
4543829851.397633,92717516.19634056
4545974854.319055,92709785.30009931
4608901490.757303,92497673.3291399
4639429255.284452,92549986.94946907
4682995614.17083,93045500.17766383
4683065770.326398,92060887.6994337
4685357090.240891,92305614.98959936
4686534152.563959,92552618.62527484
4685537235.084382,92638908.875989
4662730053.792028,92884986.54365052
4680143373.118242,93379875.54230976
4685820527.817955,93593024.91459246
4684005060.745898,93839250.20051757
4693218358.691882,95066463.9256726
4725589857.855305,95313034.3208654
4720055688.779058,95560341.93240888
4705516645.6391,95871069.11477612
4701221805.977463,95621117.11878207
4675914470.657038,96371233.74663945
4712457835.333057,96607444.03073248
4717555652.354292,96843555.91542418
4728813595.67203,96897039.02333796
4704492789.526491,96976554.12363176
4713376174.827267,96432079.901029
4732820041.88352,96661354.28337914
4725732682.935663,96891397.17765062
4727560075.754337,97121759.13367212
4744783633.001557,96326888.9799196
4754478041.828522,96540265.32362229
4757995954.207134,96762755.60518768
4762235784.107376,96573404.45261689
4763352235.469668,96802077.33280867
4765390671.23342,96811032.77014229
4768467703.608551,97038256.85486382
4778042245.902432,97247578.7748088
4816661580.824849,97476982.74522863
4822042683.026294,97706430.31651396
4800844610.945735,97935942.21924368
4843202531.024789,98938464.65982838
4873029261.359068,98166779.3343842
4883967494.136659,98396155.8125036
4900439469.522663,98626058.16013391
4907839931.272542,98845967.31957728
4937875643.211814,99076960.5246721
