Daily New Addresses,Daily Active Addresses,Total Distinct Address,Total Delegators,Total Validators
186,491,95685,19944.0,96.0
131,410,95816,19984.0,98.0
123,312,95939,20695.0,99.0
125,354,96064,20739.0,99.0
103,343,96167,20767.0,99.0
178,417,96345,20803.0,99.0
219,496,96564,20835.0,100.0
181,470,96745,20912.0,100.0
112,344,96857,20980.0,102.0
100,306,96957,21004.0,100.0
131,336,97088,21039.0,100.0
94,330,97182,21080.0,100.0
93,305,97275,21109.0,100.0
67,292,97342,21123.0,100.0
85,296,97427,21134.0,100.0
63,229,97490,21149.0,100.0
81,228,97571,21165.0,100.0
76,253,97647,21186.0,100.0
77,287,97724,21221.0,101.0
92,337,97816,21241.0,101.0
101,326,97917,21257.0,100.0
62,297,97979,21274.0,100.0
80,359,98059,21294.0,100.0
96,341,98155,21319.0,101.0
78,248,98233,21330.0,101.0
112,366,98345,21357.0,100.0
85,346,98430,21390.0,101.0
102,338,98532,21401.0,101.0
70,292,98602,21413.0,101.0
76,268,98678,21420.0,100.0
40,195,98718,21436.0,100.0
53,192,98771,21459.0,101.0
96,282,98867,21502.0,103.0
88,302,98955,21523.0,101.0
96,295,99051,21541.0,100.0
82,306,99133,21571.0,101.0
78,280,99211,21570.0,100.0
57,244,99268,21578.0,100.0
66,231,99334,21593.0,100.0
61,277,99395,21632.0,101.0
55,255,99450,21637.0,100.0
70,263,99520,21650.0,100.0
62,259,99582,21673.0,100.0
189,385,99771,21698.0,100.0
142,306,99913,21715.0,100.0
104,307,100017,21745.0,100.0
104,375,100121,21778.0,100.0
118,360,100239,21830.0,101.0
94,302,100333,20482.0,101.0
90,346,100423,20506.0,100.0
97,391,100520,20532.0,101.0
124,448,100644,20553.0,100.0
98,315,100742,20574.0,100.0
102,341,100844,20616.0,100.0
117,519,100961,20643.0,100.0
139,532,101100,20641.0,100.0
122,452,101222,20655.0,100.0
115,387,101337,20696.0,101.0
118,467,101455,20717.0,101.0
100,388,101555,20741.0,101.0
86,336,101641,20761.0,100.0
100,312,101741,20775.0,100.0
88,380,101829,22154.0,101.0
90,394,101919,22188.0,100.0
75,421,101994,22208.0,100.0
68,353,102062,22243.0,103.0
108,404,102170,22273.0,102.0
72,363,102242,22271.0,100.0
82,349,102324,22286.0,100.0
123,467,102447,22304.0,101.0
93,449,102540,22324.0,100.0
88,366,102628,22340.0,103.0
103,383,102731,22357.0,101.0
