delegated,minted,activated,active_staking,staking,liquid,circulating,active_delegated,delegated,total,frozen,inactive_staking,inactive_delegated
305952967.27589,2908831.080147,454765171.762205,371842511.885686,372177884.174473,445100740.77518,457646557.216241,305952941.152016,305952967.27589,767199983.466736,12545816.441061,335372.288787,26.123874
307605553.894393,3009083.413377,455817593.395179,373342184.342035,373652789.677822,445332300.496407,458799218.075445,307605527.770519,307605553.894393,767300222.692966,13466917.579038,310605.335787,26.123874
307115701.774326,3109496.079885,458402393.780342,371984830.801845,372211897.357631,447097288.330947,461484412.623116,307115675.650452,307115701.774326,767400616.855474,14387124.292169,227066.555786,26.123874
307792018.728651,3213227.413177,459399010.654295,373211298.325185,374065292.329222,449301600.791453,462584729.153361,307247268.534777,307792018.728651,767504316.511766,13283128.361908,853994.004037,544750.193874
308472954.265253,3316354.413157,460431720.456181,374134181.369161,374988175.373198,449442714.303468,463720553.037227,307928204.071379,308472954.265253,767607430.593746,14277838.733759,853994.004037,544750.193874
309535095.277731,3419671.746471,461820025.654056,375212534.510768,376066528.514805,449937454.052675,465212165.031416,308990345.083857,309535095.277731,767710737.39006,15274710.978741,853994.004037,544750.193874
310888136.892018,3524777.079783,462960308.99603,373278042.198434,377286989.138438,452266032.685217,466457542.842702,309982177.804966,310888136.892018,767815831.859372,14191510.157485,4008946.940004,905959.087052
310577382.539572,3622165.913037,463241638.815165,373467196.080196,377459066.292817,451646257.944631,466836256.869091,309685372.922902,310577382.539572,767913216.066626,15189998.92446,3991870.212621,892009.61667
311123336.539172,3728180.913037,463966036.227836,374264754.368836,378243422.311646,451403519.651526,467666656.431762,310235026.922502,311123336.539172,768019218.216626,16263136.780236,3978667.94281,888309.61667
311738230.494275,3834933.246349,464480657.288887,375285263.295017,379451136.925336,453243065.102853,468288013.635125,310674785.473267,311738230.494275,768125954.358938,15044948.532272,4165873.630319,1063445.021008
312348122.88002,3941368.746349,465173563.95403,376985942.216314,380934072.464042,452911371.841328,469087340.345268,311462416.384586,312348122.88002,768232374.403938,16175968.50394,3948130.247728,885706.495434
313044162.499327,4046253.412975,465856078.852919,377906101.171181,381853001.115346,452581761.285489,469874727.504783,312159604.243893,313044162.499327,768337246.664564,17292966.219294,3946899.944165,884558.255434
314742338.76592,4153684.287955,466168233.877076,380513204.564922,384075069.447479,454342258.390135,470294304.37292,314275487.670511,314742338.76592,768444668.508544,15952045.982785,3561864.882557,466851.095409
