name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
H=N - MAD [GLITCHY] ROBOT,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,138622,10000,['tz1cjn8DAkb7FsCHMJsJq17uRFWhCrGxnzqd'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
P A R A D I S E,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139738,10000,['tz1VexNRPasDP5ECxNvymqddQbfdTcKfEabq'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Coffee Break,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139144,10000,['tz1PGi4UGkKuneSMicdkJaYu7J6CPUzAeJaZ'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
SRed_04 ''Asthmatic'',KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,138929,10000,['tz1KrrC7KPhZB6m62tvy4XVVJ9et5PsuiG6s'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
SRed_03 ''With a heavy heart'',KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,134089,15,['tz1KrrC7KPhZB6m62tvy4XVVJ9et5PsuiG6s'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
SRed_02 ''Morning Exorcise'',KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,128560,15,['tz1KrrC7KPhZB6m62tvy4XVVJ9et5PsuiG6s'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
SRed_01 ''Oh Deer!'',KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,117686,15,['tz1KrrC7KPhZB6m62tvy4XVVJ9et5PsuiG6s'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
BOUNCING_OBJKTS#STORMTROOPER,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139809,10000,['tz1L4LSU6LEqvr41GBY2TSaioGdJ6dqeX9i2'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Proliferate,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139542,10000,['tz1iTiDbYdR3oLy5wXW3w6dA5LV3YZY5BDf9'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Strange Genesis #1 - Adam,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,138791,10000,['tz1YJvMiZyXnzvV9pxtAiuCFvaG7XoBZhbUQ'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
ezix,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139916,10000,['tz1TxDL7npfYDSyvrZFC4deUPMySvsL6xARU'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
EYE POP,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139971,10000,['tz1ctDMcpVoUFGA5qhfkHV7253Wnb78HzYUe'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Bounce 032,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,140033,10000,['tz1duZMsESvhr88Xa4fYzC2WLCXGRJnxhwDd'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
-X,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,140048,10000,['tz1Wn4Wc6d6jieFpj2DJaNEC7HXcwKexW2By'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
"Tezfrog - 10,000 Spider Frogs!",KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139289,10000,['tz1TmN3k7oZuCFi9Ec4RB8X8q9NGGa65d4Qn'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
Tez Skull,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,139816,10000,['tz1XCGgr9aNoULoQuXQz46YLFGHyFJo3vZE2'],1,jjjjjohn,tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38
