name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
GEOMORPHISM #142,KT1U6EHmNxJTkvaWJ4ThczG4FSDaHC21ssvi,1433632,1,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
361,KT1UBcPDU8SAJ2mdHUZppTt8nbyVoM8tSCY6,364,1,['tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Landscan,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,803821,25,['tz1KjuVj6gJXmUeTVz2GyThsGMVSvhMZY3UZ'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
362,KT1UBcPDU8SAJ2mdHUZppTt8nbyVoM8tSCY6,365,1,['tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
TOTER_001,KT1Cz3eSerwm8R3yfQaqtpcJhW1MhnUHdrt3,0,50,['tz1LUtFV3oYnVD5wYxqWxi5jr1LtQjDdwbdD'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
363,KT1UBcPDU8SAJ2mdHUZppTt8nbyVoM8tSCY6,366,1,['tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Remnant fields - planar #198,KT1U6EHmNxJTkvaWJ4ThczG4FSDaHC21ssvi,1438292,1,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
364,KT1UBcPDU8SAJ2mdHUZppTt8nbyVoM8tSCY6,367,1,['tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Planet.Moon.Monolith.,KT1LjmAdYQCLBjwv4S2oFkEzyHVkomAf5MrW,30336,15,['tz1NkoBm4akiLs1ADTe6dLuae1EWWbJnkYps'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Particle Diffusion 011,KT1P8NVeGBoVczJUCoi67gJ9i9SgvzoJsvwY,10,15,['tz1V2sAYu7MqADo7vsX1PF9AYCHSa3gzefVp'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
365,KT1UBcPDU8SAJ2mdHUZppTt8nbyVoM8tSCY6,368,1,['tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Synchronicity,KT1MEEn4SZ7fD5c4FKXf68hZoWjtwcf4EGLg,27,2022,['tz1gBXG9fg8RMDH69KfKqwoTH5sFDmzt5yzm'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Central Park,KT1FwRUDHLJs9Tzqsce8RAzY4YEwn13FnqMm,26,10000,['tz1U6GswGzwiwazDLenNkkU4kS36kzhS8ajG'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Hyper Pixel #252,KT1U6EHmNxJTkvaWJ4ThczG4FSDaHC21ssvi,1451726,1,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
MONKIEZ #33,KT1U6EHmNxJTkvaWJ4ThczG4FSDaHC21ssvi,1456993,1,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Element #91,KT1U6EHmNxJTkvaWJ4ThczG4FSDaHC21ssvi,1473686,1,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Gkrint #196,KT1U6EHmNxJTkvaWJ4ThczG4FSDaHC21ssvi,1485534,1,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
LAVA STUDY #1,KT1W9KTJDVQQtscFgT1wVJXSJWEBFsxxccGB,0,25,['tz1R4bLnuw5uwWLrvFV3vajbw2eBXb6MQ3F3'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
LAVA STUDY #2,KT1W9KTJDVQQtscFgT1wVJXSJWEBFsxxccGB,1,25,['tz1R4bLnuw5uwWLrvFV3vajbw2eBXb6MQ3F3'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
LAVA STUDY #3,KT1W9KTJDVQQtscFgT1wVJXSJWEBFsxxccGB,2,25,['tz1R4bLnuw5uwWLrvFV3vajbw2eBXb6MQ3F3'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
LAVA STUDY #4,KT1W9KTJDVQQtscFgT1wVJXSJWEBFsxxccGB,3,25,['tz1R4bLnuw5uwWLrvFV3vajbw2eBXb6MQ3F3'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
LAVA STUDY A,KT1W9KTJDVQQtscFgT1wVJXSJWEBFsxxccGB,6,50,['tz1R4bLnuw5uwWLrvFV3vajbw2eBXb6MQ3F3'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
LAVA STUDY B,KT1W9KTJDVQQtscFgT1wVJXSJWEBFsxxccGB,7,50,['tz1R4bLnuw5uwWLrvFV3vajbw2eBXb6MQ3F3'],2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
1st Edition Collector,KT1FEG1HkfBNhcggVCQruCE69Bw3CsYimPqU,1,414,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Bear Collector,KT1FEG1HkfBNhcggVCQruCE69Bw3CsYimPqU,3,415,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Club Member 2022,KT1FEG1HkfBNhcggVCQruCE69Bw3CsYimPqU,4,0,,2,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Richter #459,KT1U6EHmNxJTkvaWJ4ThczG4FSDaHC21ssvi,1497744,1,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
Club Member 2022,KT1FEG1HkfBNhcggVCQruCE69Bw3CsYimPqU,5,315,,1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
"1 Raffle Ticket ""The Devils""",KT1ATpZpeJi1z3sBhj971LeXgP5rfpo1VeDY,0,10000,['tz1NCUHMDakffJJPfNBzhoV8FYpCvPTDEjfa'],1,yazid.tez,tz1QgjmhrUD3X7kgS9mMHbUz4cS6uDiFGhAU
