name,contract_address,tokenId,supply,creators,transfersCount,accountName,accountAddress
Collection: Generative Priroda. Name: number X,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,12891,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],4,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative Priroda. Name: number VII,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13081,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative City. Name: Grad I,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13619,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative City. Name: Grad II,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13622,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative City. Name: Grad IV,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13625,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Collection: Generative City. Name: Grad III,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13629,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Shard |09,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13794,1000,['tz1P5Za1TUMsDejgzMM5iMNfHAxDUpPCHiwZ'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Rect nature,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13874,1,['tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD'],2,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Hairs,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13974,100,['tz1g2ZxQbaePfmpSwPQNRVNaF5aJdVmZWZgL'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
Beauty is in the eye of the beholder,KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,13830,100,['tz1ScnxV6dRwQ3rDM8eTs6Gn7isnHHx4bk1r'],1,Iskra Velitchkova,tz1gVKxpEGC7QW1fZyEEMEW2kgJRbpgWLNpD
